resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
40393,"TE 90 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 3/4""",Material,General,UN,48.19,48.19,48.19,48.19,1,BRL,48.19,1.0,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
40392,"TE 90 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 1/2""",Material,General,UN,37.41,37.41,37.41,37.41,1,BRL,37.41,1.0,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
40420,"TE RANHURADO EM FERRO FUNDIDO, DN 65 (2 1/2"")",Material,General,UN,59.77,59.77,59.77,59.77,1,BRL,59.77,1.0,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
40419,"TE RANHURADO EM FERRO FUNDIDO, DN 50 (2"")",Material,General,UN,40.97,40.97,40.97,40.97,1,BRL,40.97,1.0,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
21150,"TUBO ACO CARBONO SEM COSTURA 3/4"", E= *2,87 MM, SCHEDULE 40, *1,69 KG/M",Material,General,M,57.03,57.03,57.03,57.03,1,BRL,59.25,1.039,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
13127,"TUBO ACO CARBONO SEM COSTURA 1/2"", E= *2,77 MM, SCHEDULE 40, *1,27 KG/M",Material,General,M,41.8,41.8,41.8,41.8,1,BRL,43.43,1.039,1,1,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações de Gás e Incêndio em Aço e Ferro Galvanizado,Instalações de Gás e Incêndio em Aço e Ferro Galvanizado
44054,"JANELA VENEZIANA DE CORRER, EM ALUMINIO PERFIL 25, 100 X 120 CM (A X L), 3 FLS (2 VENEZIANAS E 1 VIDRO), SEM BANDEIRA, ACABAMENTO BRANCO OU BRILHANTE, BATENTE DE 8 A 9 CM, COM VIDRO 4 MM, SEM GUARNICAO/ALIZAR",Material,General,UN,1306.94,1306.94,1306.94,1306.94,1,BRL,1088.42,0.8328,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
45193,"JANELA DE CORRER, EM ALUMINIO BRANCO, 100 X 120 CM, 2 FOLHAS MOVEIS, COM BANDEIRAS FIXAS OU MOVEIS",Material,General,M2,0.0,0.0,0.0,0.0,0,BRL,0.0,0.8333,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
36896,"JANELA DE CORRER, EM ALUMINIO PERFIL 25, 100 X 120 CM (A X L), 2 FLS MOVEIS, SEM BANDEIRA, ACABAMENTO BRANCO OU BRILHANTE, BATENTE DE 6 A 7 CM, COM VIDRO 4 MM, SEM GUARNICAO",Material,General,UN,900.0,900.0,900.0,900.0,1,BRL,749.97,0.8333,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
44328,"JANELA INTEGRADA VENEZIANA, EM ALUMINIO PERFIL 25, 120 X 120 CM (A X L), 2 FLS (2 VIDRO) E VENEZIANA COM ACIONAMENTO MANUAL, SEM BANDEIRA, ACABAMENTO BRANCO OU BRILHANTE, BATENTE DE 11,50 A 12,50 CM, COM VIDRO, INCLUSO GUARNICAO",Material,General,UN,0.0,0.0,0.0,0.0,0,BRL,0.0,0.694,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
